PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Michael Jordan,CHI,34,82,69,13,37.9,29.6,11.2,23.1,48.6,1.4,3.6,37.4,5.9,7.0,83.3,1.4,4.5,5.9,4.3,2.0,1.7,0.5,1.9,47.8,9.0,1.0,10.0
Karl Malone,UTA,33,82,64,18,36.6,27.4,10.5,19.2,55.0,0.0,0.2,0.0,6.4,8.4,75.5,2.4,7.5,9.9,4.5,2.8,1.4,0.6,2.6,49.0,43.0,1.0,9.4
Glen Rice,CHH,30,79,52,27,42.5,26.8,9.1,19.2,47.7,2.6,5.6,47.0,5.9,6.8,86.7,0.8,3.2,4.0,2.0,2.2,0.9,0.3,2.4,36.1,0.0,0.0,2.2
Shaquille O'Neal,LAL,25,51,38,13,38.1,26.2,10.8,19.4,55.7,0.0,0.1,0.0,4.5,9.4,48.4,3.8,8.7,12.5,3.1,2.9,0.9,2.9,3.5,54.4,44.0,0.0,5.2
Mitch Richmond,SAC,32,81,34,47,38.6,25.9,8.9,19.5,45.4,2.5,5.9,42.8,5.6,6.6,86.1,0.7,3.2,3.9,4.2,2.9,1.5,0.3,2.5,39.2,4.0,1.0,-1.9
Latrell Sprewell,GSW,26,80,29,51,41.9,24.2,8.1,18.1,44.9,1.8,5.2,35.4,6.2,7.3,84.3,0.7,3.9,4.6,6.3,4.0,1.7,0.6,1.9,41.9,15.0,1.0,-2.7
Allen Iverson,PHI,22,76,20,56,40.0,23.5,8.2,19.8,41.6,2.0,6.0,34.1,5.0,7.2,70.2,1.5,2.6,4.1,7.5,4.4,2.1,0.3,3.1,42.3,19.0,0.0,-5.8
Hakeem Olajuwon,HOU,34,78,54,24,36.5,23.2,9.3,18.3,51.0,0.1,0.2,31.3,4.5,5.7,78.7,2.2,7.0,9.2,3.0,3.6,1.5,2.2,3.2,46.3,28.0,1.0,4.9
Patrick Ewing,NYK,34,78,54,24,37.0,22.4,8.4,17.2,48.8,0.0,0.1,22.2,5.6,7.5,75.4,2.2,8.4,10.7,2.0,3.4,0.9,2.4,3.2,44.8,47.0,0.0,4.0
LaPhonso Ellis,DEN,27,55,13,42,36.4,21.9,8.1,18.4,43.9,1.7,4.7,36.7,4.0,5.1,77.3,1.9,5.1,7.0,2.4,2.1,0.8,0.7,3.3,36.4,8.0,0.0,-3.5
Kendall Gill,NJN,29,82,26,56,39.0,21.8,7.9,17.7,44.3,0.9,2.7,33.6,5.2,6.5,79.7,2.2,3.9,6.1,4.0,2.7,1.9,0.6,2.7,39.7,9.0,0.0,-2.2
Gary Payton,SEA,28,82,57,25,39.2,21.8,8.6,18.1,47.6,1.5,4.6,31.3,3.1,4.3,71.5,1.3,3.3,4.6,7.1,2.6,2.4,0.2,2.5,43.0,19.0,2.0,7.6
Reggie Miller,IND,31,81,38,43,36.6,21.6,6.8,15.4,44.4,2.8,6.6,42.7,5.2,5.9,88.0,0.7,2.9,3.5,3.4,2.0,0.9,0.3,2.1,32.6,1.0,0.0,1.2
Grant Hill,DET,24,80,52,28,39.3,21.4,7.8,15.7,49.6,0.1,0.4,30.3,5.6,7.9,71.1,1.5,7.5,9.0,7.3,3.2,1.8,0.6,2.3,47.1,36.0,13.0,5.1
Glenn Robinson,MIL,24,80,33,47,38.9,21.1,8.4,18.0,46.5,0.8,2.3,35.0,3.6,4.6,79.1,1.6,4.7,6.3,3.1,3.4,1.3,0.9,2.8,36.3,8.0,0.0,-1.8
Vin Baker,MIL,25,78,31,47,40.5,21.0,8.1,16.0,50.5,0.2,0.7,27.8,4.6,6.7,68.7,3.4,6.9,10.3,2.7,3.1,1.1,1.4,3.5,41.7,45.0,0.0,-0.8
Jerry Stackhouse,PHI,22,81,22,59,39.1,20.7,6.6,16.1,40.7,1.3,4.2,29.8,6.3,8.2,76.6,1.9,2.2,4.2,3.1,3.9,1.1,0.8,2.7,32.3,1.0,0.0,-5.4
Tom Gugliotta,MIN,27,81,40,41,38.7,20.6,7.3,16.5,44.2,0.3,1.1,25.8,5.7,7.0,82.0,2.3,6.4,8.7,4.1,3.6,1.6,1.1,2.9,41.7,32.0,0.0,-1.9
Anfernee Hardaway,ORL,25,59,38,21,37.7,20.5,7.1,15.9,44.7,1.4,4.5,31.8,4.8,5.8,82.0,1.4,3.1,4.5,5.6,2.5,1.6,0.6,2.1,38.4,2.0,0.0,3.4
Tim Hardaway,MIA,30,81,60,21,38.8,20.3,7.1,17.1,41.5,2.5,7.3,34.4,3.6,4.5,79.9,0.6,2.8,3.4,8.6,2.8,1.9,0.1,2.0,40.3,25.0,0.0,6.7
